name,type,confidence,source,timestamp
Alejandro Encinas,PERSON,0.987247109413147,unknown,
Alejandro Caballero,PERSON,0.9803464412689209,unknown,
Frontline,ORGANIZATION,0.9771097898483276,unknown,
Khadija,PERSON,0.9553823924064636,unknown,
Visa,ORGANIZATION,0.953456978003184,unknown,
Aristegui Noticias,ORGANIZATION,0.9518499374389648,unknown,
Karina Maciel,PERSON,0.9456518014272054,unknown,
Enrique Peña Nieto,PERSON,0.9455079555511475,unknown,
Company,ORGANIZATION,0.9446810185909271,unknown,
Jamal Khashoggi,PERSON,0.9437938034534454,unknown,
Presidente,PERSON,0.9356589436531066,unknown,
Emilio,PERSON,0.932788364092509,unknown,
Hatice Cengiz,PERSON,0.9198448848724364,unknown,
Hanan,PERSON,0.9174148236002241,unknown,
Israel,LOCATION,0.9172285318374634,unknown,
Istanbul,LOCATION,0.9150107026100159,unknown,
Sandra Nogales,PERSON,0.9141225993633271,unknown,
Turkey,LOCATION,0.9127418716748555,unknown,
Dana Priest,PERSON,0.9127015376091003,unknown,
The Guardian,ORGANIZATION,0.9087437331676483,unknown,
Mexico,LOCATION,0.9079423938478742,unknown,
The Washington Post,ORGANIZATION,0.9075856725374858,unknown,
Latifa Al Maktoum,PERSON,0.904475349187851,unknown,
Le Monde,ORGANIZATION,0.9032914340496063,unknown,
Teresa Aristegui Flores,PERSON,0.9019891715049744,unknown,
Claudio Guarnieri,PERSON,0.9018046879768372,unknown,
Craig Timberg,PERSON,0.8997098982334137,unknown,
India,LOCATION,0.8974010229110718,unknown,
Hungary,LOCATION,0.8961960554122925,unknown,
Casa Blanca,LOCATION,0.8941987156867981,unknown,
Paul Lewis,PERSON,0.8923778116703034,unknown,
Ilham Aliyev,PERSON,0.8918395678202312,unknown,
UAE airport,LOCATION,0.890692162513733,unknown,
Baku,LOCATION,0.8902547240257264,unknown,
Sebastian Barragan,PERSON,0.8900773108005524,unknown,
Kazakhstan,LOCATION,0.8897642970085144,unknown,
July 2021,DATE,0.8874531567096711,unknown,
Paris,LOCATION,0.8866239368915558,unknown,
Pegasus,SOFTWARE,0.8860303163528442,unknown,
Cnn,ORGANIZATION,0.8859025120735169,unknown,
NSO group,ORGANIZATION,0.884268008073171,unknown,
Proceso,ORGANIZATION,0.8823161125183105,unknown,
Telegram,SOFTWARE,0.8805766105651855,unknown,
Money,MONEY,0.8792465627193451,unknown,
Apple Music,ORGANIZATION,0.8738183760643006,unknown,
Amnesty International Security Lab,ORGANIZATION,0.8736176073551178,unknown,
Airport,LOCATION,0.8726445635159811,unknown,
Azerbaijan,LOCATION,0.8691778574671064,unknown,
Martin,PERSON,0.8690563440322876,unknown,
United Arab Emirates,LOCATION,0.8674298246701558,unknown,
Cisen,ORGANIZATION,0.866234302520752,unknown,
Stef,PERSON,0.8625992715358735,unknown,
Christoph,PERSON,0.8611046850681305,unknown,
1 Billion Dollars,MONEY,0.8591434240341187,unknown,
Damien,PERSON,0.8585698187351227,unknown,
Putin,PERSON,0.8571964383125306,unknown,
1984,BOOK,0.8569480776786804,unknown,
2010,DATE,0.8556158125400544,unknown,
Pegasus spyware,SOFTWARE,0.8540404396397727,unknown,
A Big Year,DATE,0.85,unknown,
A Couple Of Weeks Ago,DATE,0.85,unknown,
Abajo Estaban,PERSON,0.85,unknown,
Abajo teníamos el micrófono,PERSON,0.85,unknown,
"About 1,000",CARDINAL,0.85,unknown,
"About 50,000",CARDINAL,0.85,unknown,
About A Year,DATE,0.85,unknown,
Ahora Es,PERSON,0.85,unknown,
Al Al,PERSON,0.85,unknown,
Al cruzar,PERSON,0.85,unknown,
Al Dispositivo,PERSON,0.85,unknown,
Al Sistema De Inteligencia,PERSON,0.85,unknown,
Al Teléfono,PERSON,0.85,unknown,
Aliyev,GROUP,0.85,unknown,
Aliyevs,PERSON,0.85,unknown,
Amazon Prime Video,ORGANIZATION,0.85,unknown,
Android,PRODUCT,0.85,unknown,
Androids,PRODUCT,0.85,unknown,
Azerbaijani,PERSON,0.85,unknown,
Bueno,PERSON,0.85,unknown,
Casa,LOCATION,0.85,unknown,
Claro,PERSON,0.85,unknown,
Como Presidente,LOCATION,0.85,unknown,
Covid,PERSON,0.85,unknown,
Cuando,ORGANIZATION,0.85,unknown,
Das De Espaldas,ORGANIZATION,0.85,unknown,
De acuerdo,ORGANIZATION,0.85,unknown,
De Ahí Ya Podíamos,PERSON,0.85,unknown,
De Carácter,PERSON,0.85,unknown,
De Edad,PERSON,0.85,unknown,
de la ciudad de México,PERSON,0.85,unknown,
De La Revista,PERSON,0.85,unknown,
De Tu Visa,PERSON,0.85,unknown,
Del Lado Derecho,FACILITY,0.85,unknown,
Digamos,PERSON,0.85,unknown,
Diplomáticos,LOCATION,0.85,unknown,
Durante los años que fui espiada,ORGANIZATION,0.85,unknown,
Dábamos Clic,PERSON,0.85,unknown,
El Conocimiento De Que,ORGANIZATION,0.85,unknown,
El El,ORGANIZATION,0.85,unknown,
El Equipo,ORGANIZATION,0.85,unknown,
El Mensaje,PERSON,0.85,unknown,
El Número,PERSON,0.85,unknown,
El Presidente,LOCATION,0.85,unknown,
El procedimiento,ORGANIZATION,0.85,unknown,
El Software,SOFTWARE,0.85,unknown,
El Teléfono De Mi,ORGANIZATION,0.85,unknown,
Elephant,ORGANIZATION,0.85,unknown,
Encinas,PERSON,0.85,unknown,
First,ORDINAL,0.85,unknown,
Frontline's Global Spyware Scandal exposing Pegasus,EVENT,0.85,unknown,
Fuera de la vigencia,PRODUCT,0.85,unknown,
Global Spyware Scandal,EVENT,0.85,unknown,
Hatice,PERSON,0.85,unknown,
Hay Muchos,LOCATION,0.85,unknown,
Hola Carmen,ORGANIZATION,0.85,unknown,
iPhones,ORGANIZATION,0.85,unknown,
Iran,LOCATION,0.85,unknown,
Jamal,PERSON,0.85,unknown,
Khashoggi,PERSON,0.85,unknown,
La Cadena De Televisión,ORGANIZATION,0.85,unknown,
La Cocina,LOCATION,0.85,unknown,
La Finalidad De Elaborar,ORGANIZATION,0.85,unknown,
La Productora De Mi,ORGANIZATION,0.85,unknown,
Las Cámaras,LOCATION,0.85,unknown,
Los Ingresos,LOCATION,0.85,unknown,
Los Números De Mi Directorio,LOCATION,0.85,unknown,
Mensajes De Texto,PERSON,0.85,unknown,
Mensajes Tan Extraños,PERSON,0.85,unknown,
Mexican,GROUP,0.85,unknown,
Months,DATE,0.85,unknown,
"More Than 15,000",CARDINAL,0.85,unknown,
More Than 80,CARDINAL,0.85,unknown,
Moroccan,GROUP,0.85,unknown,
Nosotros,GROUP,0.85,unknown,
Nosotros Decíamos,PERSON,0.85,unknown,
Novedad,LOCATION,0.85,unknown,
Números,PERSON,0.85,unknown,
One,CARDINAL,0.85,unknown,
Para Mí La,PERSON,0.85,unknown,
Pegasus al CISEN,EVENT,0.85,unknown,
Pegasus al ejército,EVENT,0.85,unknown,
Pero Había Que,PERSON,0.85,unknown,
Pero Podemos Seguir,ORGANIZATION,0.85,unknown,
Pleno Al,PERSON,0.85,unknown,
Podemos Verla Nosotros,ORGANIZATION,0.85,unknown,
Pueden estar,PERSON,0.85,unknown,
Puedo,LOCATION,0.85,unknown,
Quedas,PERSON,0.85,unknown,
Qué,PERSON,0.85,unknown,
Saudis,GROUP,0.85,unknown,
Se tenía que,PERSON,0.85,unknown,
Signal,ORGANIZATION,0.85,unknown,
Sms,ORGANIZATION,0.85,unknown,
Tengo un directorio nutrido,PERSON,0.85,unknown,
Tens Of Thousands,CARDINAL,0.85,unknown,
Tenía Cada Una De Las Aplicaciones De Las Que,FACILITY,0.85,unknown,
teníamos el cuadro de la aplicación de WhatsApp,ORGANIZATION,0.85,unknown,
Teresa Aristegui,PERSON,0.85,unknown,
The Last 10 Years,DATE,0.85,unknown,
The minute,TIME,0.85,unknown,
Three,CARDINAL,0.85,unknown,
Today,DATE,0.85,unknown,
Tu Teléfono,ORGANIZATION,0.85,unknown,
Turkish,GROUP,0.85,unknown,
Two,CARDINAL,0.85,unknown,
"Universo De Más De 50,000 Números",ORGANIZATION,0.85,unknown,
Va,LOCATION,0.85,unknown,
Vigencia Tiene,PERSON,0.85,unknown,
Visualización Principal,PERSON,0.85,unknown,
Ya Perdieron El Pudor,PERSON,0.85,unknown,
Ya Sean,PERSON,0.85,unknown,
Yo intuyo,PERSON,0.85,unknown,
¿Pues,WORK_OF_ART,0.85,unknown,
Carmen Aristegui,PERSON,0.8479984155723026,unknown,
Journalist,PERSON,0.8452680706977844,unknown,
Saudi Arabia,LOCATION,0.8452566981315613,unknown,
Citizen Lab,ORGANIZATION,0.8437984903653463,unknown,
Bill Marczak,PERSON,0.8435134023427964,unknown,
Technology,TECHNOLOGY,0.8424597024917603,unknown,
Program,SOFTWARE,0.8397842943668365,unknown,
Forbidden Films,ORGANIZATION,0.8376144806543987,unknown,
She,PERSON,0.8356239520586454,unknown,
We,GROUP,0.8309353379642263,unknown,
del presidente de México,LOCATION,0.8309244831403096,unknown,
George Orwell,PERSON,0.8294553935527802,unknown,
Ejército,ORGANIZATION,0.8247581720352173,unknown,
2018,DATE,0.8226340134938558,unknown,
"Between 2019 And 2020, 2020",DATE,0.8176620185375214,unknown,
Beckenham,LOCATION,0.8164571404457093,unknown,
COVID crisis,EVENT,0.8056907057762146,unknown,
2019,DATE,0.8053195794423421,unknown,
2015,DATE,0.8035348534584046,unknown,
Procuraduría General de la República,ORGANIZATION,0.7977142333984375,unknown,
Orpington,LOCATION,0.7871374964714051,unknown,
Platform,PLATFORM,0.7860606908798218,unknown,
17 Hours,TIME,0.781930434703827,unknown,
1300,DATE,0.7624927341938019,unknown,
Arturo de Forbidden Stories,PERSON,0.7616025352478027,unknown,
The Post,ORGANIZATION,0.7607491612434387,unknown,
Android phones,PRODUCT,0.7596985013396652,unknown,
Dictatorship,EVENT,0.7555319666862488,unknown,
You,PERSON,0.7544533823217664,unknown,
国家元首,PERSON,0.7505244016647339,unknown,
