name,type,confidence,source,extraction_methods,aliases,is_normalized
Alejandro Encinas,PERSON,0.987,GLiNER,GLiNER,,False
Alejandro Caballero,PERSON,0.98,GLiNER,GLiNER,,False
Frontline,ORGANIZATION,0.977,GLiNER,GLiNER,,False
Khadija,PERSON,0.955,GLiNER,GLiNER,,False
Visa,ORGANIZATION,0.953,GLiNER,GLiNER,,False
Aristegui Noticias,ORGANIZATION,0.952,GLiNER,GLiNER,,False
Karina Maciel,PERSON,0.946,GLiNER,GLiNER,,False
Enrique Peña Nieto,PERSON,0.946,GLiNER,GLiNER,,False
Company,ORGANIZATION,0.945,GLiNER,GLiNER,,False
Jamal Khashoggi,PERSON,0.944,GLiNER,GLiNER,,False
Presidente,PERSON,0.936,GLiNER,GLiNER,,False
Emilio,PERSON,0.933,GLiNER,GLiNER,,False
Hatice Cengiz,PERSON,0.92,GLiNER,GLiNER,,False
Hanan,PERSON,0.917,GLiNER,GLiNER,,False
Israel,LOCATION,0.917,GLiNER,GLiNER,,False
Istanbul,LOCATION,0.915,GLiNER,GLiNER,,False
Sandra Nogales,PERSON,0.914,GLiNER,GLiNER,,False
Turkey,LOCATION,0.913,GLiNER,GLiNER,,False
Dana Priest,PERSON,0.913,GLiNER,GLiNER,,False
The Guardian,ORGANIZATION,0.909,GLiNER,GLiNER,,False
Mexico,LOCATION,0.908,GLiNER,GLiNER,,False
The Washington Post,ORGANIZATION,0.908,GLiNER,GLiNER,,False
Latifa Al Maktoum,PERSON,0.904,GLiNER,GLiNER,,False
Le Monde,ORGANIZATION,0.903,GLiNER,GLiNER,,False
Teresa Aristegui Flores,PERSON,0.902,GLiNER,GLiNER,,False
Claudio Guarnieri,PERSON,0.902,GLiNER,GLiNER,,False
Craig Timberg,PERSON,0.9,GLiNER,GLiNER,,False
India,LOCATION,0.897,GLiNER,GLiNER,,False
Hungary,LOCATION,0.896,GLiNER,GLiNER,,False
Casa Blanca,LOCATION,0.894,GLiNER,GLiNER,,False
Paul Lewis,PERSON,0.892,GLiNER,GLiNER,,False
Ilham Aliyev,PERSON,0.892,GLiNER,GLiNER,,False
UAE airport,LOCATION,0.891,GLiNER,GLiNER,,False
Baku,LOCATION,0.89,GLiNER,GLiNER,,False
Sebastian Barragan,PERSON,0.89,GLiNER,GLiNER,,False
Kazakhstan,LOCATION,0.89,GLiNER,GLiNER,,False
July 2021,DATE,0.887,GLiNER,GLiNER,,False
Paris,LOCATION,0.887,GLiNER,GLiNER,,False
Pegasus,SOFTWARE,0.886,GLiNER,GLiNER,,False
Cnn,ORGANIZATION,0.886,GLiNER,GLiNER,,False
NSO group,ORGANIZATION,0.884,GLiNER,GLiNER,,False
Proceso,ORGANIZATION,0.882,GLiNER,GLiNER,,False
Telegram,SOFTWARE,0.881,GLiNER,GLiNER,,False
Money,MONEY,0.879,GLiNER,GLiNER,,False
Apple Music,ORGANIZATION,0.874,GLiNER,GLiNER,,False
Amnesty International Security Lab,ORGANIZATION,0.874,GLiNER,GLiNER,,False
Airport,LOCATION,0.873,GLiNER,GLiNER,,False
Azerbaijan,LOCATION,0.869,GLiNER,GLiNER,,False
Martin,PERSON,0.869,GLiNER,GLiNER,,False
United Arab Emirates,LOCATION,0.867,GLiNER,GLiNER,,False
Cisen,ORGANIZATION,0.866,GLiNER,GLiNER,,False
Stef,PERSON,0.863,GLiNER,GLiNER,,False
Christoph,PERSON,0.861,GLiNER,GLiNER,,False
1 Billion Dollars,MONEY,0.859,GLiNER,GLiNER,,False
Damien,PERSON,0.859,GLiNER,GLiNER,,False
Putin,PERSON,0.857,GLiNER,GLiNER,,False
1984,BOOK,0.857,GLiNER,GLiNER,,False
2010,DATE,0.856,GLiNER,GLiNER,,False
Pegasus spyware,SOFTWARE,0.854,GLiNER,GLiNER,,False
A Big Year,DATE,0.85,Unknown,Unknown,,False
A Couple Of Weeks Ago,DATE,0.85,Unknown,Unknown,,False
Abajo Estaban,PERSON,0.85,Unknown,Unknown,,False
Abajo teníamos el micrófono,PERSON,0.85,Unknown,Unknown,,False
"About 1,000",CARDINAL,0.85,Unknown,Unknown,,False
"About 50,000",CARDINAL,0.85,Unknown,Unknown,,False
About A Year,DATE,0.85,Unknown,Unknown,,False
Ahora Es,PERSON,0.85,Unknown,Unknown,,False
Al Al,PERSON,0.85,Unknown,Unknown,,False
Al cruzar,PERSON,0.85,Unknown,Unknown,,False
Al Dispositivo,PERSON,0.85,Unknown,Unknown,,False
Al Sistema De Inteligencia,PERSON,0.85,Unknown,Unknown,,False
Al Teléfono,PERSON,0.85,Unknown,Unknown,,False
Aliyev,GROUP,0.85,Unknown,Unknown,,False
Aliyevs,PERSON,0.85,Unknown,Unknown,,False
Amazon Prime Video,ORGANIZATION,0.85,Unknown,Unknown,,False
Android,PRODUCT,0.85,Unknown,Unknown,,False
Androids,PRODUCT,0.85,Unknown,Unknown,,False
Azerbaijani,PERSON,0.85,Unknown,Unknown,,False
Bueno,PERSON,0.85,Unknown,Unknown,,False
Casa,LOCATION,0.85,Unknown,Unknown,,False
Claro,PERSON,0.85,Unknown,Unknown,,False
Como Presidente,LOCATION,0.85,Unknown,Unknown,,False
Covid,PERSON,0.85,Unknown,Unknown,,False
Cuando,ORGANIZATION,0.85,Unknown,Unknown,,False
Das De Espaldas,ORGANIZATION,0.85,Unknown,Unknown,,False
De acuerdo,ORGANIZATION,0.85,Unknown,Unknown,,False
De Ahí Ya Podíamos,PERSON,0.85,Unknown,Unknown,,False
De Carácter,PERSON,0.85,Unknown,Unknown,,False
De Edad,PERSON,0.85,Unknown,Unknown,,False
de la ciudad de México,PERSON,0.85,Unknown,Unknown,,False
De La Revista,PERSON,0.85,Unknown,Unknown,,False
De Tu Visa,PERSON,0.85,Unknown,Unknown,,False
Del Lado Derecho,FACILITY,0.85,Unknown,Unknown,,False
Digamos,PERSON,0.85,Unknown,Unknown,,False
Diplomáticos,LOCATION,0.85,Unknown,Unknown,,False
Durante los años que fui espiada,ORGANIZATION,0.85,Unknown,Unknown,,False
Dábamos Clic,PERSON,0.85,Unknown,Unknown,,False
El Conocimiento De Que,ORGANIZATION,0.85,Unknown,Unknown,,False
El El,ORGANIZATION,0.85,Unknown,Unknown,,False
El Equipo,ORGANIZATION,0.85,Unknown,Unknown,,False
El Mensaje,PERSON,0.85,Unknown,Unknown,,False
El Número,PERSON,0.85,Unknown,Unknown,,False
El Presidente,LOCATION,0.85,Unknown,Unknown,,False
El procedimiento,ORGANIZATION,0.85,Unknown,Unknown,,False
El Software,SOFTWARE,0.85,Unknown,Unknown,,False
El Teléfono De Mi,ORGANIZATION,0.85,Unknown,Unknown,,False
Elephant,ORGANIZATION,0.85,Unknown,Unknown,,False
Encinas,PERSON,0.85,Unknown,Unknown,,False
First,ORDINAL,0.85,Unknown,Unknown,,False
Frontline's Global Spyware Scandal exposing Pegasus,EVENT,0.85,Unknown,Unknown,,False
Fuera de la vigencia,PRODUCT,0.85,Unknown,Unknown,,False
Global Spyware Scandal,EVENT,0.85,Unknown,Unknown,,False
Hatice,PERSON,0.85,Unknown,Unknown,,False
Hay Muchos,LOCATION,0.85,Unknown,Unknown,,False
Hola Carmen,ORGANIZATION,0.85,Unknown,Unknown,,False
iPhones,ORGANIZATION,0.85,Unknown,Unknown,,False
Iran,LOCATION,0.85,Unknown,Unknown,,False
Jamal,PERSON,0.85,Unknown,Unknown,,False
Khashoggi,PERSON,0.85,Unknown,Unknown,,False
La Cadena De Televisión,ORGANIZATION,0.85,Unknown,Unknown,,False
La Cocina,LOCATION,0.85,Unknown,Unknown,,False
La Finalidad De Elaborar,ORGANIZATION,0.85,Unknown,Unknown,,False
La Productora De Mi,ORGANIZATION,0.85,Unknown,Unknown,,False
Las Cámaras,LOCATION,0.85,Unknown,Unknown,,False
Los Ingresos,LOCATION,0.85,Unknown,Unknown,,False
Los Números De Mi Directorio,LOCATION,0.85,Unknown,Unknown,,False
Mensajes De Texto,PERSON,0.85,Unknown,Unknown,,False
Mensajes Tan Extraños,PERSON,0.85,Unknown,Unknown,,False
Mexican,GROUP,0.85,Unknown,Unknown,,False
Months,DATE,0.85,Unknown,Unknown,,False
"More Than 15,000",CARDINAL,0.85,Unknown,Unknown,,False
More Than 80,CARDINAL,0.85,Unknown,Unknown,,False
Moroccan,GROUP,0.85,Unknown,Unknown,,False
Nosotros,GROUP,0.85,Unknown,Unknown,,False
Nosotros Decíamos,PERSON,0.85,Unknown,Unknown,,False
Novedad,LOCATION,0.85,Unknown,Unknown,,False
Números,PERSON,0.85,Unknown,Unknown,,False
One,CARDINAL,0.85,Unknown,Unknown,,False
Para Mí La,PERSON,0.85,Unknown,Unknown,,False
Pegasus al CISEN,EVENT,0.85,Unknown,Unknown,,False
Pegasus al ejército,EVENT,0.85,Unknown,Unknown,,False
Pero Había Que,PERSON,0.85,Unknown,Unknown,,False
Pero Podemos Seguir,ORGANIZATION,0.85,Unknown,Unknown,,False
Pleno Al,PERSON,0.85,Unknown,Unknown,,False
Podemos Verla Nosotros,ORGANIZATION,0.85,Unknown,Unknown,,False
Pueden estar,PERSON,0.85,Unknown,Unknown,,False
Puedo,LOCATION,0.85,Unknown,Unknown,,False
Quedas,PERSON,0.85,Unknown,Unknown,,False
Qué,PERSON,0.85,Unknown,Unknown,,False
Saudis,GROUP,0.85,Unknown,Unknown,,False
Se tenía que,PERSON,0.85,Unknown,Unknown,,False
Signal,ORGANIZATION,0.85,Unknown,Unknown,,False
Sms,ORGANIZATION,0.85,Unknown,Unknown,,False
Tengo un directorio nutrido,PERSON,0.85,Unknown,Unknown,,False
Tens Of Thousands,CARDINAL,0.85,Unknown,Unknown,,False
Tenía Cada Una De Las Aplicaciones De Las Que,FACILITY,0.85,Unknown,Unknown,,False
teníamos el cuadro de la aplicación de WhatsApp,ORGANIZATION,0.85,Unknown,Unknown,,False
Teresa Aristegui,PERSON,0.85,Unknown,Unknown,,False
The Last 10 Years,DATE,0.85,Unknown,Unknown,,False
The minute,TIME,0.85,Unknown,Unknown,,False
Three,CARDINAL,0.85,Unknown,Unknown,,False
Today,DATE,0.85,Unknown,Unknown,,False
Tu Teléfono,ORGANIZATION,0.85,Unknown,Unknown,,False
Turkish,GROUP,0.85,Unknown,Unknown,,False
Two,CARDINAL,0.85,Unknown,Unknown,,False
"Universo De Más De 50,000 Números",ORGANIZATION,0.85,Unknown,Unknown,,False
Va,LOCATION,0.85,Unknown,Unknown,,False
Vigencia Tiene,PERSON,0.85,Unknown,Unknown,,False
Visualización Principal,PERSON,0.85,Unknown,Unknown,,False
Ya Perdieron El Pudor,PERSON,0.85,Unknown,Unknown,,False
Ya Sean,PERSON,0.85,Unknown,Unknown,,False
Yo intuyo,PERSON,0.85,Unknown,Unknown,,False
¿Pues,WORK_OF_ART,0.85,Unknown,Unknown,,False
Carmen Aristegui,PERSON,0.848,GLiNER,GLiNER,,False
Journalist,PERSON,0.845,GLiNER,GLiNER,,False
