name,type,confidence,source,timestamp
Alejandro Caballero,PERSON,0.9864081144332886,unknown,
Alejandro Encinas,PERSON,0.9807363748550415,unknown,
Jamal Khashoggi,PERSON,0.9596807731522454,unknown,
Aristegui Noticias,ORGANIZATION,0.9568467140197754,unknown,
Hanan Atar,CHARACTER,0.9526825547218323,unknown,
Karina Maciel,PERSON,0.9455613613128663,unknown,
Enrique Peña Nieto,PERSON,0.9440917293230693,unknown,
Hatice,PERSON,0.9325673977533976,unknown,
Khadija Ismayilova,PERSON,0.9284935368431939,unknown,
Presidente,PERSON,0.9251617908477783,unknown,
Le Monde,ORGANIZATION,0.9228947758674622,unknown,
The Guardian,ORGANIZATION,0.922272065281868,unknown,
Jamal,PERSON,0.9192441205183665,unknown,
Istanbul,LOCATION,0.9174995541572571,unknown,
The Washington Post,ORGANIZATION,0.9168223261833192,unknown,
Damian,PERSON,0.9140946269035339,unknown,
Sandra Nogales,PERSON,0.9140222251415253,unknown,
Turkey,LOCATION,0.9139145731925965,unknown,
Israel,LOCATION,0.9131177584330241,unknown,
Ilham Aliyev,PERSON,0.913090068101883,unknown,
Hungary,LOCATION,0.9113213300704956,unknown,
Kazakhstan,LOCATION,0.9111474931240082,unknown,
Proceso,ORGANIZATION,0.9093639850616455,unknown,
Claudio Ganyeri,PERSON,0.9093084553877513,unknown,
Latifa Al Maktoum,PERSON,0.9064612269401551,unknown,
Visa,PRODUCT,0.9033116499582926,unknown,
Craig Timberg,PERSON,0.9029957830905915,unknown,
Mexico,LOCATION,0.9027323859078543,unknown,
India,LOCATION,0.9025416254997254,unknown,
Aliev,PERSON,0.9022008657455445,unknown,
Teresa Aristegui Flores,PERSON,0.9017142832279206,unknown,
Cnn,ORGANIZATION,0.9011335849761963,unknown,
Sebastian Barragán,PERSON,0.8990082919597626,unknown,
United States,LOCATION,0.8986053387324016,unknown,
Pegasus,PRODUCT,0.896426510810852,unknown,
Azerbaijan,LOCATION,0.8962233628545488,unknown,
Baku,LOCATION,0.8928718447685242,unknown,
Jamal Khashoggi,CHARACTER,0.8883066177368164,unknown,
Telegram,SOFTWARE,0.886906087398529,unknown,
Putin,PERSON,0.8858471989631653,unknown,
