name,type,confidence,source,timestamp
the Beatles,ORGANIZATION,0.9496437907218933,unknown,
Nasa,ORGANIZATION,0.9129949092864991,unknown,
Florida,LOCATION,0.9064694225788117,unknown,
Alligator,BIOLOGICAL_ENTITY,0.8986057937145233,unknown,
Zachary,PERSON,0.8621220469474793,unknown,
"3,000",CARDINAL,0.85,unknown,
Beatles,PERSON,0.85,unknown,
Guinness World Records,ORGANIZATION,0.85,unknown,
Hollywood,LOCATION,0.85,unknown,
Just A Few Years Ago,DATE,0.85,unknown,
Last Month,DATE,0.85,unknown,
Occam,PERSON,0.85,unknown,
The Flyboard Air,ORGANIZATION,0.85,unknown,
Tonight,TIME,0.85,unknown,
Two,CARDINAL,0.85,unknown,
Zeitgeist,PERSON,0.85,unknown,
Earth,LOCATION,0.8467288196086884,unknown,
You,PERSON,0.8423724869887034,unknown,
Western Hemisphere,LOCATION,0.831950205564499,unknown,
Global Conspiracy,CONFLICT,0.8285874128341675,unknown,
Paul McCartney,PERSON,0.808095383644104,unknown,
1966,DATE,0.7998308122158051,unknown,
Music,SONG,0.7793467044830322,unknown,
Flyboard Air,PRODUCT,0.7682512998580933,unknown,
It,BIOLOGICAL_ENTITY,0.763265780040196,unknown,
Wikipedia,ORGANIZATION,0.7621106982231141,unknown,
Bombing,EVENT,0.75355464220047,unknown,
Ufologist,PERSON,0.7481793761253357,unknown,
Captain Disillusion,PERSON,0.7320085167884827,unknown,
Zeitgeist,CHARACTER,0.709364503622055,unknown,
People,PERSON,0.95,unknown,
