name,type,confidence,source,extraction_methods,aliases,is_normalized
the Beatles,ORGANIZATION,0.95,GLiNER,GLiNER,,False
Nasa,ORGANIZATION,0.913,GLiNER,GLiNER,,False
Florida,LOCATION,0.906,GLiNER,GLiNER,,False
Alligator,BIOLOGICAL_ENTITY,0.899,GLiNER,GLiNER,,False
Zachary,PERSON,0.862,GLiNER,GLiNER,,False
"3,000",CARDINAL,0.85,Unknown,Unknown,,False
Beatles,PERSON,0.85,Unknown,Unknown,,False
Guinness World Records,ORGANIZATION,0.85,Unknown,Unknown,,False
Hollywood,LOCATION,0.85,Unknown,Unknown,,False
Just A Few Years Ago,DATE,0.85,Unknown,Unknown,,False
Last Month,DATE,0.85,Unknown,Unknown,,False
Occam,PERSON,0.85,Unknown,Unknown,,False
The Flyboard Air,ORGANIZATION,0.85,Unknown,Unknown,,False
Tonight,TIME,0.85,Unknown,Unknown,,False
Two,CARDINAL,0.85,Unknown,Unknown,,False
Zeitgeist,PERSON,0.85,Unknown,Unknown,,False
Earth,LOCATION,0.847,GLiNER,GLiNER,,False
You,PERSON,0.842,GLiNER,GLiNER,,False
Western Hemisphere,LOCATION,0.832,GLiNER,GLiNER,,False
Global Conspiracy,CONFLICT,0.829,GLiNER,GLiNER,,False
Paul McCartney,PERSON,0.808,GLiNER,GLiNER,,False
1966,DATE,0.8,GLiNER,GLiNER,,False
Music,SONG,0.779,GLiNER,GLiNER,,False
Flyboard Air,PRODUCT,0.768,GLiNER,GLiNER,,False
It,BIOLOGICAL_ENTITY,0.763,GLiNER,GLiNER,,False
Wikipedia,ORGANIZATION,0.762,GLiNER,GLiNER,,False
Bombing,EVENT,0.754,GLiNER,GLiNER,,False
Ufologist,PERSON,0.748,GLiNER,GLiNER,,False
Captain Disillusion,PERSON,0.732,GLiNER,GLiNER,,False
Zeitgeist,CHARACTER,0.709,GLiNER,GLiNER,,False
People,PERSON,0.95,GLiNER,GLiNER,,False
