name,type,confidence,source,timestamp
François de Rugy,PERSON,0.9923810362815857,unknown,
רם בן ברק,PERSON,0.9806832075119019,unknown,
ויקטור אורבן,PERSON,0.9721859693527222,unknown,
Laurent Richard,PERSON,0.9693291187286377,unknown,
הונגריה,LOCATION,0.956878662109375,unknown,
David Haigh,PERSON,0.9398025661706925,unknown,
Jamal Khashoggi,PERSON,0.939581573009491,unknown,
Dubai,LOCATION,0.9388193461630079,unknown,
ועדת החוץ והביטחון,ORGANIZATION,0.9354398250579834,unknown,
Politicians,ORGANIZATION,0.9343216121196747,unknown,
הכנסת,ORGANIZATION,0.9338898658752441,unknown,
Mohammed VI,PERSON,0.9325281699498494,unknown,
Magyar Kormánnyal,ORGANIZATION,0.9269490540027618,unknown,
Le Monde,ORGANIZATION,0.9260826706886292,unknown,
נתניהו,PERSON,0.9219841361045837,unknown,
Tedros Ghebreyesus,PERSON,0.9179175078868866,unknown,
Hannah Neumann,PERSON,0.9178625822067261,unknown,
Princess Latifa,PERSON,0.9143403003613154,unknown,
Región,LOCATION,0.914182205994924,unknown,
Pegasus,SOFTWARE,0.9129992127418518,unknown,
Emmanuel Macron qui,PERSON,0.9119683742523194,unknown,
Guerrero,LOCATION,0.9097592234611511,unknown,
Burj Al Arab,LOCATION,0.9059466004371644,unknown,
Jumeirah,LOCATION,0.9052756011486054,unknown,
Sheikh Mohammed,PERSON,0.9037476062774659,unknown,
Detained International,ORGANIZATION,0.8999850928783417,unknown,
Sheikh Mohammed bin Rashid Al Maktoum,PERSON,0.8988788306713105,unknown,
London,LOCATION,0.8954574942588807,unknown,
Hamas,ORGANIZATION,0.89342560172081,unknown,
8200,ORGANIZATION,0.8903741836547852,unknown,
Benjamin Netanyahu's,PERSON,0.8903076489766439,unknown,
Saudi Arabia,LOCATION,0.8882409652074178,unknown,
The Guardian,ORGANIZATION,0.8882148444652558,unknown,
Hungary,LOCATION,0.8848543852567673,unknown,
remito al caso de Cecilio Pineda,PERSON,0.8843272712495591,unknown,
European Parliament,ORGANIZATION,0.8831985175609589,unknown,
Israel,LOCATION,0.8820265452067058,unknown,
The Washington Post,ORGANIZATION,0.8802223443984986,unknown,
Consortium Of Media Partners,COMPANY,0.8793636598085102,unknown,
Magyarország,LOCATION,0.8789671659469604,unknown,
Julien de Normandie,PERSON,0.8779030621051789,unknown,
Parlaments,ORGANIZATION,0.8769332945346833,unknown,
Mars 2019,DATE,0.8747720241546632,unknown,
El Crimen Organizado,ORGANIZATION,0.8714249312877655,unknown,
Catalonia,LOCATION,0.870522427558899,unknown,
Polski,LOCATION,0.8702755570411682,unknown,
Jestem z Polski,PERSON,0.8695476484298705,unknown,
Frontline,COMPANY,0.8685898582140604,unknown,
Pegasus Project,ORGANIZATION,0.8683513402938843,unknown,
Israël,LOCATION,0.8660326898097992,unknown,
Trois Noms De Votre,ORGANIZATION,0.8652254223823548,unknown,
Élysée,LOCATION,0.8648675282796224,unknown,
Fbi,ORGANIZATION,0.8633488297462464,unknown,
July 2017,DATE,0.8627033710479737,unknown,
Silicon Valley,LOCATION,0.8619364738464356,unknown,
You,PERSON,0.8615892231464386,unknown,
United Arab Emirates,LOCATION,0.8593574047088623,unknown,
Indian Ocean,LOCATION,0.8540996789932251,unknown,
100%,PERCENTAGE,0.85,unknown,
14,CARDINAL,0.85,unknown,
17,CARDINAL,0.85,unknown,
18,CARDINAL,0.85,unknown,
60,CARDINAL,0.85,unknown,
70,CARDINAL,0.85,unknown,
80,CARDINAL,0.85,unknown,
About 15,CARDINAL,0.85,unknown,
"About 15, 20 Minutes",DATE,0.85,unknown,
about 3 AM in the morning,TIME,0.85,unknown,
Actif Aujourd'Hui Et,PERSON,0.85,unknown,
Afirmar Categóricamente Que,PERSON,0.85,unknown,
Ah ben,PERSON,0.85,unknown,
Allez,ORGANIZATION,0.85,unknown,
Alors,ORGANIZATION,0.85,unknown,
Amazon Prime Video,ORGANIZATION,0.85,unknown,
At Least 37,CARDINAL,0.85,unknown,
Avec Beaucoup De Sérieux,ORGANIZATION,0.85,unknown,
Ben Là,PERSON,0.85,unknown,
Biden,PERSON,0.85,unknown,
Bien Entendu,PERSON,0.85,unknown,
Bien Eu,PERSON,0.85,unknown,
Bien Été Ciblé Par Le Client,ORGANIZATION,0.85,unknown,
British,GROUP,0.85,unknown,
Buenas,PERSON,0.85,unknown,
C'Est De Lui Écrire,ORGANIZATION,0.85,unknown,
Cette,ORGANIZATION,0.85,unknown,
Cinq,GROUP,0.85,unknown,
Cometido El Asesinato,PERSON,0.85,unknown,
Dans,GROUP,0.85,unknown,
De acuerdo,ORGANIZATION,0.85,unknown,
de Guerrero,PERSON,0.85,unknown,
De Se,PERSON,0.85,unknown,
De Violencia,PERSON,0.85,unknown,
De Vérifier S'Il L'Utilise Toujours,PERSON,0.85,unknown,
Del Del Narcotráfico,FACILITY,0.85,unknown,
Después de eso,PERSON,0.85,unknown,
Después De Estar,ORGANIZATION,0.85,unknown,
Deux,ORGANIZATION,0.85,unknown,
Discuter De Ce,PERSON,0.85,unknown,
Donc,PERSON,0.85,unknown,
Dozens,CARDINAL,0.85,unknown,
Drian,GROUP,0.85,unknown,
Dubai Princess Princess Latifa,ORGANIZATION,0.85,unknown,
Días,LOCATION,0.85,unknown,
Eight,CARDINAL,0.85,unknown,
El Gobierno Del,ORGANIZATION,0.85,unknown,
El Grupo Del,ORGANIZATION,0.85,unknown,
El Periodista,PERSON,0.85,unknown,
El Reporte De La,ORGANIZATION,0.85,unknown,
Entregaran Su Camioneta,PERSON,0.85,unknown,
Esa Lista,LOCATION,0.85,unknown,
Estamos Solos,PERSON,0.85,unknown,
Eu L'Air,PERSON,0.85,unknown,
Every Day,DATE,0.85,unknown,
F-35,PRODUCT,0.85,unknown,
First,ORDINAL,0.85,unknown,
Five,CARDINAL,0.85,unknown,
François de Rugy,ORGANIZATION,0.85,unknown,
Frontline's Global Spyware Scandal: Exposing Pegasus,WORK_OF_ART,0.85,unknown,
Herausforderung,LOCATION,0.85,unknown,
Hungarian,LANGUAGE,0.85,unknown,
Igen,PERSON,0.85,unknown,
Il A Il A Fini Par Accepter,PERSON,0.85,unknown,
Il m'a,PERSON,0.85,unknown,
Il n'a,PERSON,0.85,unknown,
Il se trouve,PERSON,0.85,unknown,
Il Va Y Avoir,PERSON,0.85,unknown,
Illetve van-e,PERSON,0.85,unknown,
Indian,GROUP,0.85,unknown,
Investigacion de diversos,ORGANIZATION,0.85,unknown,
Israeli,GROUP,0.85,unknown,
Jamal,LOCATION,0.85,unknown,
Je je suis,PERSON,0.85,unknown,
Just Weeks,DATE,0.85,unknown,
Kampanii Wyborczej,PERSON,0.85,unknown,
Khashoggi,LOCATION,0.85,unknown,
Kérdéseim,ORGANIZATION,0.85,unknown,
Köszönöm,PERSON,0.85,unknown,
Köszönöm,ORGANIZATION,0.85,unknown,
L'A Bien Reçu,PERSON,0.85,unknown,
l'Algérie,PRODUCT,0.85,unknown,
l'Élysée,ORGANIZATION,0.85,unknown,
La Base De Données,PERSON,0.85,unknown,
La Liste,PERSON,0.85,unknown,
Las Autoridades,LOCATION,0.85,unknown,
le Maroc,ORGANIZATION,0.85,unknown,
Le numéro de téléphone qui est,ORGANIZATION,0.85,unknown,
Le Numéro Était,ORGANIZATION,0.85,unknown,
Literalmente El Estado Ya,PERSON,0.85,unknown,
Lui Ai Annoncé Le Pays,ORGANIZATION,0.85,unknown,
Mais De Le,PERSON,0.85,unknown,
Mensaje Anticipado De Lo,PERSON,0.85,unknown,
Milyen Okból,ORGANIZATION,0.85,unknown,
Miért,ORGANIZATION,0.85,unknown,
Mon Avis,PERSON,0.85,unknown,
mon Dieu,PERSON,0.85,unknown,
"More than 50,000",CARDINAL,0.85,unknown,
Moroccan,GROUP,0.85,unknown,
Mostrar El,ORGANIZATION,0.85,unknown,
Más Impactadas,PERSON,0.85,unknown,
même des chefs d'État,ORGANIZATION,0.85,unknown,
N'Ont Jamais Été Des,ORGANIZATION,0.85,unknown,
N'Y,GROUP,0.85,unknown,
Nada Más Fue,ORGANIZATION,0.85,unknown,
Notre,LOCATION,0.85,unknown,
Obtuvo De El,PERSON,0.85,unknown,
One,CARDINAL,0.85,unknown,
Ouais,ORGANIZATION,0.85,unknown,
Ouais,PRODUCT,0.85,unknown,
Palestinians,GROUP,0.85,unknown,
Pero,PRODUCT,0.85,unknown,
Pyramide,ORGANIZATION,0.85,unknown,
Q&A,ORGANIZATION,0.85,unknown,
Qu'Effectivement,MONEY,0.85,unknown,
Qu'Il,ORGANIZATION,0.85,unknown,
Qu'Il Va,PRODUCT,0.85,unknown,
qu'Israël,CARDINAL,0.85,unknown,
Quand,PERSON,0.85,unknown,
Quatre,LOCATION,0.85,unknown,
Que que ya había llegado prácticamente casi muerto,PERSON,0.85,unknown,
Qué,PERSON,0.85,unknown,
S'Attendre À Ce Que Même,ORGANIZATION,0.85,unknown,
Sabes que Cecilio Pineda,WORK_OF_ART,0.85,unknown,
Said,PERSON,0.85,unknown,
Several Years Ago,DATE,0.85,unknown,
Sms,ORGANIZATION,0.85,unknown,
Szerződjön Az,PERSON,0.85,unknown,
Tagállamokat Különböző Jogállamisági Kritériumok Alapján,ORGANIZATION,0.85,unknown,
The End Of The Day,DATE,0.85,unknown,
the King of Morocco,PERSON,0.85,unknown,
The Next 12 Hours,TIME,0.85,unknown,
The Next Day,DATE,0.85,unknown,
The Next Morning,TIME,0.85,unknown,
The Past Several Years,DATE,0.85,unknown,
The Same Day After Months,DATE,0.85,unknown,
The Same Minute,TIME,0.85,unknown,
The several hours,TIME,0.85,unknown,
Those Two Weeks,DATE,0.85,unknown,
Tiene Segura Su Vida,PERSON,0.85,unknown,
Toda Aturdida,PERSON,0.85,unknown,
Todas Las Autoridades,PERSON,0.85,unknown,
Today,DATE,0.85,unknown,
Trois,LOCATION,0.85,unknown,
Tu vois,PERSON,0.85,unknown,
Two,CARDINAL,0.85,unknown,
Two Days,DATE,0.85,unknown,
Uf,PERSON,0.85,unknown,
