subject,predicate,object,confidence,context
Pegasus software,spyware,instance of,0.85,
Sheikh Mohammed bin Rashid Al Maktoum,Princess Latifa,child,0.85,
Princess Latifa,child,Princess Latifa,0.85,
Sheikh Mohammed bin Rashid Al Maktoum,father,Princess Latifa,0.85,
Dubai Princess,located in the administrative territorial entity,Dubai,0.85,
Jumeirah,located in the administrative territorial entity,Dubai,0.85,
Israeli Defense Ministry,country,Israel,0.85,
Cecilio Pineda,country of citizenship,Mexico,0.85,
Forbidden Stories,publication date,2021,0.85,
Spain,Catalonia,contains administrative territorial entity,0.85,
Catalonia,Spain,country,0.85,
UAE,diplomatic relation,Saudi Arabia,0.85,
Saudi Arabia,diplomatic relation,UAE,0.85,
Köszönöm szépen,language of work or name,Hungarian,0.85,
