name,type,confidence,source,timestamp
Nikki Haley,PERSON,0.958432137966156,unknown,
Border Patrol,MILITARY_UNIT,0.9572034478187561,unknown,
Natanz,LOCATION,0.9523599147796631,unknown,
Isfahan,LOCATION,0.9505789279937744,unknown,
Medicare,ORGANIZATION,0.9498670786619187,unknown,
Qom,LOCATION,0.944930911064148,unknown,
Special Envoy Whitkoff,PERSON,0.9385949373245239,unknown,
Xi Jinping's,PERSON,0.9258137732744217,unknown,
Jasmine Crockett,PERSON,0.9227597546577453,unknown,
President Trump,PERSON,0.9210348299741744,unknown,
Ukraine,LOCATION,0.9188242644071579,unknown,
Democratic Party,ORGANIZATION,0.917840975522995,unknown,
Republican party,ORGANIZATION,0.9155714392662049,unknown,
Department of State,ORGANIZATION,0.9151537418365479,unknown,
Secret Service,ORGANIZATION,0.9136102517445882,unknown,
The Council of Economic Advisors,ORGANIZATION,0.912763524055481,unknown,
Mark Levin,PERSON,0.9102523505687714,unknown,
Russia,LOCATION,0.9097899854183197,unknown,
Marjorie Taylor Green,PERSON,0.9090134680271149,unknown,
Marco Rubio,PERSON,0.9060376763343811,unknown,
President Obama,PERSON,0.9017931997776032,unknown,
United States Senate,ORGANIZATION,0.8998712849617003,unknown,
Oil Market,MARKET,0.8995899558067322,unknown,
Nuclear Weapon,WEAPON,0.898540382201855,unknown,
Lindsay Graham,PERSON,0.8982577502727509,unknown,
Joe Biden's,PERSON,0.8970094203948974,unknown,
Tucker Carlson,PERSON,0.8962113052606583,unknown,
Fbi,ORGANIZATION,0.895903754234314,unknown,
Josh Hawley,PERSON,0.894022810459137,unknown,
Francesca,PERSON,0.8928555250167847,unknown,
Europeans,ORGANIZATION,0.8893537223339081,unknown,
Cea,ORGANIZATION,0.8893051624298096,unknown,
Geneva,LOCATION,0.8875789761543275,unknown,
Tennessee,LOCATION,0.8865337292353312,unknown,
Caroline,PERSON,0.8854359912872315,unknown,
The President,PERSON,0.8834632337093353,unknown,
Markets,MARKET,0.8800310492515564,unknown,
Department of Justice,ORGANIZATION,0.8795598963896434,unknown,
Benjamin Netanyahu,PERSON,0.8785330533981324,unknown,
North Korea,LOCATION,0.8763635247945786,unknown,
Republicans,ORGANIZATION,0.8753845691680908,unknown,
Free Press,ORGANIZATION,0.8735197106997172,unknown,
93%,PERCENTAGE,0.8725930035114289,unknown,
Eli Lake,PERSON,0.8723947548866272,unknown,
Jackie,PERSON,0.8702958405017853,unknown,
Natalie,PERSON,0.8691343784332276,unknown,
July 4th,DATE,0.866482961177826,unknown,
Republican Senators,ORGANIZATION,0.8664812397956847,unknown,
Nearly 2%,PERCENTAGE,0.8651136338710785,unknown,
South China Sea,LOCATION,0.8640557244420052,unknown,
Washington,LOCATION,0.8621639490127564,unknown,
Iran,LOCATION,0.8601655106795462,unknown,
Phillip,PERSON,0.8601596683263779,unknown,
ICE officers,ORGANIZATION,0.8597035109996796,unknown,
Israel,LOCATION,0.8586417828287397,unknown,
America First movement,ORGANIZATION,0.8559114217758179,unknown,
Steve Whitkoff,PERSON,0.854147174358368,unknown,
Alex,PERSON,0.8533238689104716,unknown,
Owen,PERSON,0.8502167940139771,unknown,
1.4 Million,CARDINAL,0.85,unknown,
100 Million,CARDINAL,0.85,unknown,
60-Day,DATE,0.85,unknown,
90 Days,DATE,0.85,unknown,
90-Day,DATE,0.85,unknown,
A Couple Of Weeks,DATE,0.85,unknown,
A Federal Holiday,DATE,0.85,unknown,
A Few Weeks Ago,DATE,0.85,unknown,
A Year,DATE,0.85,unknown,
About Two Weeks,DATE,0.85,unknown,
Afternoon,TIME,0.85,unknown,
Akela,LOCATION,0.85,unknown,
Americans,GROUP,0.85,unknown,
Border Patrol,PERSON,0.85,unknown,
Caroline,ORGANIZATION,0.85,unknown,
Chinese,GROUP,0.85,unknown,
Decades,DATE,0.85,unknown,
Democrats,GROUP,0.85,unknown,
Eli Lake,ORGANIZATION,0.85,unknown,
Europeans,GROUP,0.85,unknown,
Every Day,DATE,0.85,unknown,
First,ORDINAL,0.85,unknown,
Fordow,PERSON,0.85,unknown,
Four,CARDINAL,0.85,unknown,
Francesca,ORGANIZATION,0.85,unknown,
Hairy,PERSON,0.85,unknown,
Idf,ORGANIZATION,0.85,unknown,
Indo-Pacific,ORGANIZATION,0.85,unknown,
Insider Advantage,LOCATION,0.85,unknown,
Iranians,GROUP,0.85,unknown,
Isfahan,ORGANIZATION,0.85,unknown,
Israeli,GROUP,0.85,unknown,
Juneteenth,ORDINAL,0.85,unknown,
Middle Eastern,GROUP,0.85,unknown,
Millions,CARDINAL,0.85,unknown,
"More Than 117,000",CARDINAL,0.85,unknown,
More Than 40 Million,MONEY,0.85,unknown,
Natanz,ORGANIZATION,0.85,unknown,
Nearly 60 Years,DATE,0.85,unknown,
Nearly 80 Million,CARDINAL,0.85,unknown,
Nikki Haley,ORGANIZATION,0.85,unknown,
non-US,GROUP,0.85,unknown,
One,CARDINAL,0.85,unknown,
Philippines,LOCATION,0.85,unknown,
Qom,PERSON,0.85,unknown,
Republicans,GROUP,0.85,unknown,
Second,ORDINAL,0.85,unknown,
Six,CARDINAL,0.85,unknown,
South Korean,GROUP,0.85,unknown,
The First Week,DATE,0.85,unknown,
The Last Week,DATE,0.85,unknown,
the month of May,DATE,0.85,unknown,
The Past 24 Hours,TIME,0.85,unknown,
The Past Four Years,DATE,0.85,unknown,
the Tucker Carlson's,ORGANIZATION,0.85,unknown,
the White House Council's,ORGANIZATION,0.85,unknown,
This Morning,TIME,0.85,unknown,
This Two Week,DATE,0.85,unknown,
This Week,DATE,0.85,unknown,
Truth Social,LOCATION,0.85,unknown,
Two,CARDINAL,0.85,unknown,
Wijja,LOCATION,0.85,unknown,
Yesterday,DATE,0.85,unknown,
Zero,CARDINAL,0.85,unknown,
January,DATE,0.847839105129242,unknown,
Supreme Leader,PERSON,0.8477916717529297,unknown,
Southwest border,LOCATION,0.8477800369262696,unknown,
2015,DATE,0.8470907986164093,unknown,
Israeli uh,MILITARY_UNIT,0.8465915024280548,unknown,
Independence Day,EVENT,0.8458952486515046,unknown,
Dasha,PERSON,0.8440231561660767,unknown,
Spain,LOCATION,0.8384383034706115,unknown,
Iranian government,ORGANIZATION,0.8368165493011475,unknown,
Juneteenth,DATE,0.8355327248573303,unknown,
"Nearly $14,000",MONEY,0.8344784855842591,unknown,
Michael,PERSON,0.832432109117508,unknown,
May 2024,DATE,0.8320537894964218,unknown,
Presidential Administration,ORGANIZATION,0.831171452999115,unknown,
2011,DATE,0.8301082134246827,unknown,
Taiwan,LOCATION,0.8293498933315278,unknown,
Billions Of Dollars,MONEY,0.8290564894676209,unknown,
Immigration Officers,ORGANIZATION,0.8264423608779907,unknown,
Radical Democrats,ORGANIZATION,0.822097897529602,unknown,
Beltway,LOCATION,0.816139030456543,unknown,
Hormone Therapy,MEDICAL_PROCEDURE,0.8143163919448853,unknown,
Insider Advantage,ORGANIZATION,0.8137339353561401,unknown,
Ceasefire,CONFLICT,0.8128235340118408,unknown,
National Security Council,ORGANIZATION,0.8125401914119721,unknown,
At Least 5%,PERCENTAGE,0.8107226520776749,unknown,
Leak Investigation,EVENT,0.8072656691074371,unknown,
Law Enforcement Officers,ORGANIZATION,0.8067795634269714,unknown,
White House,ORGANIZATION,0.8020165615611606,unknown,
54%,PERCENTAGE,0.8015918016433716,unknown,
Idf,MILITARY_UNIT,0.8003659844398499,unknown,
Gdp,EVENT,0.7957044839859009,unknown,
Akela,PERSON,0.7906304001808167,unknown,
Operative,PERSON,0.789854884147644,unknown,
White House Counsel,ORGANIZATION,0.7895333647727967,unknown,
The First Five Months,DATE,0.7824543039004008,unknown,
Middle East,LOCATION,0.7822108060121536,unknown,
United States of America,LOCATION,0.7813384043542962,unknown,
Indo-Pacific,LOCATION,0.7797547578811646,unknown,
Supreme Court,ORGANIZATION,0.7783285522460938,unknown,
Monday morning,DATE,0.7756777584552765,unknown,
Iranian terrorist regime,ORGANIZATION,0.7745869755744934,unknown,
Trump administration,ORGANIZATION,0.7744203996658325,unknown,
"As Much As $11,000",MONEY,0.7743346869945527,unknown,
White House,LOCATION,0.7718835684988234,unknown,
Skirmish,CONFLICT,0.7683375477790833,unknown,
Mass Closures,EVENT,0.7653340697288513,unknown,
World,LOCATION,0.7632877826690674,unknown,
Hospitals,ORGANIZATION,0.7623251676559448,unknown,
Kristen,PERSON,0.7590281963348389,unknown,
She,PERSON,0.7499476075172424,unknown,
Jennifer,PERSON,0.7473344683647156,unknown,
Direct Conflict,CONFLICT,0.7467543482780457,unknown,
TikTok,ORGANIZATION,0.7457523822784424,unknown,
Mental Illness,EVENT,0.7433775067329407,unknown,
middle America,LOCATION,0.7415121674537659,unknown,
United States government,ORGANIZATION,0.7366281151771545,unknown,
Day 61,DATE,0.7299818277359009,unknown,
These Next Two Weeks,DATE,0.7286823685352619,unknown,
Border,LOCATION,0.7245395481586456,unknown,
United States,ORGANIZATION,0.7228090071678162,unknown,
Today,DATE,0.7206617911656698,unknown,
Transgender Medical Procedures,MEDICAL_PROCEDURE,0.7110254168510437,unknown,
Global Conflicts,CONFLICT,0.7100952863693237,unknown,
Puberty blockers,MEDICAL_PROCEDURE,0.7085822224617004,unknown,
Region,LOCATION,0.7063644528388977,unknown,
Federal Holiday,EVENT,0.7052119970321655,unknown,
Wars,CONFLICT,0.70389723777771,unknown,
Congress,ORGANIZATION,0.7031323790550232,unknown,
Ports Of Entry,LOCATION,0.95,unknown,
Biden administration,ORGANIZATION,0.95,unknown,
Last Month,DATE,0.95,unknown,
Homeland,LOCATION,0.95,unknown,
Country,LOCATION,0.95,unknown,
