name,type,confidence,source,extraction_methods,aliases,is_normalized
Nikki Haley,PERSON,0.958,GLiNER,GLiNER,,False
Border Patrol,MILITARY_UNIT,0.957,GLiNER,GLiNER,,False
Natanz,LOCATION,0.952,GLiNER,GLiNER,,False
Isfahan,LOCATION,0.951,GLiNER,GLiNER,,False
Medicare,ORGANIZATION,0.95,GLiNER,GLiNER,,False
Qom,LOCATION,0.945,GLiNER,GLiNER,,False
Special Envoy Whitkoff,PERSON,0.939,GLiNER,GLiNER,,False
Xi Jinping's,PERSON,0.926,GLiNER,GLiNER,,False
Jasmine Crockett,PERSON,0.923,GLiNER,GLiNER,,False
President Trump,PERSON,0.921,GLiNER,GLiNER,,False
Ukraine,LOCATION,0.919,GLiNER,GLiNER,,False
Democratic Party,ORGANIZATION,0.918,GLiNER,GLiNER,,False
Republican party,ORGANIZATION,0.916,GLiNER,GLiNER,,False
Department of State,ORGANIZATION,0.915,GLiNER,GLiNER,,False
Secret Service,ORGANIZATION,0.914,GLiNER,GLiNER,,False
The Council of Economic Advisors,ORGANIZATION,0.913,GLiNER,GLiNER,,False
Mark Levin,PERSON,0.91,GLiNER,GLiNER,,False
Russia,LOCATION,0.91,GLiNER,GLiNER,,False
Marjorie Taylor Green,PERSON,0.909,GLiNER,GLiNER,,False
Marco Rubio,PERSON,0.906,GLiNER,GLiNER,,False
President Obama,PERSON,0.902,GLiNER,GLiNER,,False
United States Senate,ORGANIZATION,0.9,GLiNER,GLiNER,,False
Oil Market,MARKET,0.9,GLiNER,GLiNER,,False
Nuclear Weapon,WEAPON,0.899,GLiNER,GLiNER,,False
Lindsay Graham,PERSON,0.898,GLiNER,GLiNER,,False
Joe Biden's,PERSON,0.897,GLiNER,GLiNER,,False
Tucker Carlson,PERSON,0.896,GLiNER,GLiNER,,False
Fbi,ORGANIZATION,0.896,GLiNER,GLiNER,,False
Josh Hawley,PERSON,0.894,GLiNER,GLiNER,,False
Francesca,PERSON,0.893,GLiNER,GLiNER,,False
Europeans,ORGANIZATION,0.889,GLiNER,GLiNER,,False
Cea,ORGANIZATION,0.889,GLiNER,GLiNER,,False
Geneva,LOCATION,0.888,GLiNER,GLiNER,,False
Tennessee,LOCATION,0.887,GLiNER,GLiNER,,False
Caroline,PERSON,0.885,GLiNER,GLiNER,,False
The President,PERSON,0.883,GLiNER,GLiNER,,False
Markets,MARKET,0.88,GLiNER,GLiNER,,False
Department of Justice,ORGANIZATION,0.88,GLiNER,GLiNER,,False
Benjamin Netanyahu,PERSON,0.879,GLiNER,GLiNER,,False
North Korea,LOCATION,0.876,GLiNER,GLiNER,,False
Republicans,ORGANIZATION,0.875,GLiNER,GLiNER,,False
Free Press,ORGANIZATION,0.874,GLiNER,GLiNER,,False
93%,PERCENTAGE,0.873,GLiNER,GLiNER,,False
Eli Lake,PERSON,0.872,GLiNER,GLiNER,,False
Jackie,PERSON,0.87,GLiNER,GLiNER,,False
Natalie,PERSON,0.869,GLiNER,GLiNER,,False
July 4th,DATE,0.866,GLiNER,GLiNER,,False
Republican Senators,ORGANIZATION,0.866,GLiNER,GLiNER,,False
Nearly 2%,PERCENTAGE,0.865,GLiNER,GLiNER,,False
South China Sea,LOCATION,0.864,GLiNER,GLiNER,,False
Washington,LOCATION,0.862,GLiNER,GLiNER,,False
Iran,LOCATION,0.86,GLiNER,GLiNER,,False
Phillip,PERSON,0.86,GLiNER,GLiNER,,False
ICE officers,ORGANIZATION,0.86,GLiNER,GLiNER,,False
Israel,LOCATION,0.859,GLiNER,GLiNER,,False
America First movement,ORGANIZATION,0.856,GLiNER,GLiNER,,False
Steve Whitkoff,PERSON,0.854,GLiNER,GLiNER,,False
Alex,PERSON,0.853,GLiNER,GLiNER,,False
Owen,PERSON,0.85,GLiNER,GLiNER,,False
1.4 Million,CARDINAL,0.85,Unknown,Unknown,,False
100 Million,CARDINAL,0.85,Unknown,Unknown,,False
60-Day,DATE,0.85,Unknown,Unknown,,False
90 Days,DATE,0.85,Unknown,Unknown,,False
90-Day,DATE,0.85,Unknown,Unknown,,False
A Couple Of Weeks,DATE,0.85,Unknown,Unknown,,False
A Federal Holiday,DATE,0.85,Unknown,Unknown,,False
A Few Weeks Ago,DATE,0.85,Unknown,Unknown,,False
