subject,predicate,object,confidence,context
President Trump,member of political party,Republicans,0.85,
Republicans,chairperson,President Trump,0.85,
President Trump,chairperson,President Trump,0.85,
Iran,diplomatic relation,Russia,0.85,
Russia,diplomatic relation,Iran,0.85,
Ukraine,diplomatic relation,Ukraine,0.85,
United States Senate,diplomatic relation,Russia,0.85,
Ukraine,diplomatic relation,Russia,0.85,
United States Senate,diplomatic relation,Ukraine,0.85,
diplomatic relation,Ukraine,United States Senate,0.85,
diplomatic relation,diplomatic relation,Russia,0.85,
Iran,part of,Middle East,0.85,
Jasmine Crockett,Democratic Party,member of political party,0.85,
North Korea,diplomatic relation,South Korea,0.85,
South Korea,diplomatic relation,North Korea,0.85,
Israel,Benjamin Netanyahu,head of government,0.85,
Secretary of State,United States,Country,0.85,
Marco Rubio,Secretary of State,position held,0.85,
United States Senate,diplomatic relation,Iran,0.85,
Iran,United States,diplomatic relation,0.85,
Spain,continent,Europe,0.85,
