name,type,confidence,source,extraction_methods,aliases,is_normalized
Alejandro Caballero,PERSON,0.986,GLiNER,GLiNER,,False
Alejandro Encinas,PERSON,0.981,GLiNER,GLiNER,,False
Jamal Khashoggi,PERSON,0.96,GLiNER,GLiNER,,False
Aristegui Noticias,ORGANIZATION,0.957,GLiNER,GLiNER,,False
Hanan Atar,CHARACTER,0.953,GLiNER,GLiNER,,False
Karina Maciel,PERSON,0.946,GLiNER,GLiNER,,False
Enrique Peña Nieto,PERSON,0.944,GLiNER,GLiNER,,False
Hatice,PERSON,0.933,GLiNER,GLiNER,,False
Khadija Ismayilova,PERSON,0.928,GLiNER,GLiNER,,False
Presidente,PERSON,0.925,GLiNER,GLiNER,,False
Le Monde,ORGANIZATION,0.923,GLiNER,GLiNER,,False
The Guardian,ORGANIZATION,0.922,GLiNER,GLiNER,,False
Jamal,PERSON,0.919,GLiNER,GLiNER,,False
Istanbul,LOCATION,0.917,GLiNER,GLiNER,,False
The Washington Post,ORGANIZATION,0.917,GLiNER,GLiNER,,False
Damian,PERSON,0.914,GLiNER,GLiNER,,False
Sandra Nogales,PERSON,0.914,GLiNER,GLiNER,,False
Turkey,LOCATION,0.914,GLiNER,GLiNER,,False
Israel,LOCATION,0.913,GLiNER,GLiNER,,False
Ilham Aliyev,PERSON,0.913,GLiNER,GLiNER,,False
Hungary,LOCATION,0.911,GLiNER,GLiNER,,False
Kazakhstan,LOCATION,0.911,GLiNER,GLiNER,,False
Proceso,ORGANIZATION,0.909,GLiNER,GLiNER,,False
Claudio Ganyeri,PERSON,0.909,GLiNER,GLiNER,,False
Latifa Al Maktoum,PERSON,0.906,GLiNER,GLiNER,,False
Visa,PRODUCT,0.903,GLiNER,GLiNER,,False
Craig Timberg,PERSON,0.903,GLiNER,GLiNER,,False
Mexico,LOCATION,0.903,GLiNER,GLiNER,,False
India,LOCATION,0.903,GLiNER,GLiNER,,False
Aliev,PERSON,0.902,GLiNER,GLiNER,,False
Teresa Aristegui Flores,PERSON,0.902,GLiNER,GLiNER,,False
Cnn,ORGANIZATION,0.901,GLiNER,GLiNER,,False
Sebastian Barragán,PERSON,0.899,GLiNER,GLiNER,,False
United States,LOCATION,0.899,GLiNER,GLiNER,,False
Pegasus,PRODUCT,0.896,GLiNER,GLiNER,,False
Azerbaijan,LOCATION,0.896,GLiNER,GLiNER,,False
Baku,LOCATION,0.893,GLiNER,GLiNER,,False
Jamal Khashoggi,CHARACTER,0.888,GLiNER,GLiNER,,False
Telegram,SOFTWARE,0.887,GLiNER,GLiNER,,False
Putin,PERSON,0.886,GLiNER,GLiNER,,False
July 2021,DATE,0.886,GLiNER,GLiNER,,False
Steff,PERSON,0.886,GLiNER,GLiNER,,False
Paris,LOCATION,0.885,GLiNER,GLiNER,,False
Martin,PERSON,0.884,GLiNER,GLiNER,,False
Emirates Airlines,ORGANIZATION,0.884,GLiNER,GLiNER,,False
Hanan Atar,PERSON,0.884,GLiNER,GLiNER,,False
Dana Priest,PERSON,0.883,GLiNER,GLiNER,,False
Pegasus,SOFTWARE,0.881,GLiNER,GLiNER,,False
Washington,LOCATION,0.878,GLiNER,GLiNER,,False
Money,MONEY,0.878,GLiNER,GLiNER,,False
Maggie,CHARACTER,0.876,GLiNER,GLiNER,,False
Amnesty International Security Lab,ORGANIZATION,0.874,GLiNER,GLiNER,,False
Christoph,PERSON,0.872,GLiNER,GLiNER,,False
Emilio,PERSON,0.871,GLiNER,GLiNER,,False
UAE airport,LOCATION,0.87,GLiNER,GLiNER,,False
The NSO Group,ORGANIZATION,0.868,GLiNER,GLiNER,,False
$1 Billion,MONEY,0.868,GLiNER,GLiNER,,False
Pulus,PERSON,0.866,GLiNER,GLiNER,,False
1984,BOOK,0.856,GLiNER,GLiNER,,False
2010,DATE,0.851,GLiNER,GLiNER,,False
10,CARDINAL,0.85,Unknown,Unknown,,False
1300,DATE,0.85,Unknown,Unknown,,False
17,CARDINAL,0.85,Unknown,Unknown,,False
1984,DATE,0.85,Unknown,Unknown,,False
40,CARDINAL,0.85,Unknown,Unknown,,False
6Th,ORDINAL,0.85,Unknown,Unknown,,False
9Th,ORDINAL,0.85,Unknown,Unknown,,False
A Big Year,DATE,0.85,Unknown,Unknown,,False
A Couple Of Weeks Ago,DATE,0.85,Unknown,Unknown,,False
Abajo Estaban,PERSON,0.85,Unknown,Unknown,,False
Abajo teníamos el micrófono,PERSON,0.85,Unknown,Unknown,,False
"About 50,000",CARDINAL,0.85,Unknown,Unknown,,False
About A Year,DATE,0.85,Unknown,Unknown,,False
Activists,PRODUCT,0.85,Unknown,Unknown,,False
Ahora Es,PERSON,0.85,Unknown,Unknown,,False
Al Canario,PERSON,0.85,Unknown,Unknown,,False
Al cruzar,PERSON,0.85,Unknown,Unknown,,False
Al Dispositivo,PERSON,0.85,Unknown,Unknown,,False
Al Sistema De Inteligencia,PERSON,0.85,Unknown,Unknown,,False
Al Teléfono,PERSON,0.85,Unknown,Unknown,,False
Aliyev,GROUP,0.85,Unknown,Unknown,,False
Aliyevs,PERSON,0.85,Unknown,Unknown,,False
Android,ORGANIZATION,0.85,Unknown,Unknown,,False
Androids,PERSON,0.85,Unknown,Unknown,,False
Aristegui Noticias,PERSON,0.85,Unknown,Unknown,,False
Azerbaijani,PERSON,0.85,Unknown,Unknown,,False
Bueno,PERSON,0.85,Unknown,Unknown,,False
Casa,ORGANIZATION,0.85,Unknown,Unknown,,False
Como Presidente,LOCATION,0.85,Unknown,Unknown,,False
Con La Finalidad De Elaborar,ORGANIZATION,0.85,Unknown,Unknown,,False
Contraignant Mais C'Est,PERSON,0.85,Unknown,Unknown,,False
Covid,PERSON,0.85,Unknown,Unknown,,False
Cuando,ORGANIZATION,0.85,Unknown,Unknown,,False
Dans,GROUP,0.85,Unknown,Unknown,,False
De acuerdo,ORGANIZATION,0.85,Unknown,Unknown,,False
De Carácter,PERSON,0.85,Unknown,Unknown,,False
De Edad,PERSON,0.85,Unknown,Unknown,,False
de la Ciudad de México,PERSON,0.85,Unknown,Unknown,,False
De Tu Visa,PERSON,0.85,Unknown,Unknown,,False
Del Lado Derecho,FACILITY,0.85,Unknown,Unknown,,False
Digamos,PERSON,0.85,Unknown,Unknown,,False
Diplomáticos,LOCATION,0.85,Unknown,Unknown,,False
Durante los años que fui espiada,ORGANIZATION,0.85,Unknown,Unknown,,False
Dábamos Clic,PERSON,0.85,Unknown,Unknown,,False
El Conocimiento De Que,ORGANIZATION,0.85,Unknown,Unknown,,False
El Equipo,ORGANIZATION,0.85,Unknown,Unknown,,False
El Mensaje,PERSON,0.85,Unknown,Unknown,,False
El Número,PERSON,0.85,Unknown,Unknown,,False
El Presidente,LOCATION,0.85,Unknown,Unknown,,False
El procedimiento,ORGANIZATION,0.85,Unknown,Unknown,,False
El Software,LOCATION,0.85,Unknown,Unknown,,False
El Teléfono De Mi,ORGANIZATION,0.85,Unknown,Unknown,,False
Encinas,LOCATION,0.85,Unknown,Unknown,,False
Estaban Ahí Políticos,PERSON,0.85,Unknown,Unknown,,False
Every Day,DATE,0.85,Unknown,Unknown,,False
First,ORDINAL,0.85,Unknown,Unknown,,False
Four Days,DATE,0.85,Unknown,Unknown,,False
Fuera de la vigencia,PERSON,0.85,Unknown,Unknown,,False
Global Spyware Scandal,ORGANIZATION,0.85,Unknown,Unknown,,False
Gueule Du Loup Mais,PERSON,0.85,Unknown,Unknown,,False
Hanan,LOCATION,0.85,Unknown,Unknown,,False
Hatice,ORGANIZATION,0.85,Unknown,Unknown,,False
Il faudrait,PERSON,0.85,Unknown,Unknown,,False
Il va se faire,PERSON,0.85,Unknown,Unknown,,False
iPhones,ORGANIZATION,0.85,Unknown,Unknown,,False
Islamic,GROUP,0.85,Unknown,Unknown,,False
Jamal,LOCATION,0.85,Unknown,Unknown,,False
Jamal,GROUP,0.85,Unknown,Unknown,,False
Khashoggi,LOCATION,0.85,Unknown,Unknown,,False
La Cadena De Televisión,ORGANIZATION,0.85,Unknown,Unknown,,False
La Cocina,ORGANIZATION,0.85,Unknown,Unknown,,False
La Geolocalización Y Dependiendo De Lo,PERSON,0.85,Unknown,Unknown,,False
La Oficina,PERSON,0.85,Unknown,Unknown,,False
La Productora De Mi,ORGANIZATION,0.85,Unknown,Unknown,,False
Las Cámaras,LOCATION,0.85,Unknown,Unknown,,False
Lo Cruzamos,PERSON,0.85,Unknown,Unknown,,False
Lo que lo que podemos,PERSON,0.85,Unknown,Unknown,,False
Los Ingresos,LOCATION,0.85,Unknown,Unknown,,False
Los Números De Mi Directorio,LOCATION,0.85,Unknown,Unknown,,False
Maggie,PERSON,0.85,Unknown,Unknown,,False
Mamá,PERSON,0.85,Unknown,Unknown,,False
Martin,ORGANIZATION,0.85,Unknown,Unknown,,False
Mensajes De Texto,PERSON,0.85,Unknown,Unknown,,False
Mensajes Tan Extraños,PERSON,0.85,Unknown,Unknown,,False
Mexican,GROUP,0.85,Unknown,Unknown,,False
Months,DATE,0.85,Unknown,Unknown,,False
"More Than 15,000",CARDINAL,0.85,Unknown,Unknown,,False
More Than 80,CARDINAL,0.85,Unknown,Unknown,,False
Moroccan,GROUP,0.85,Unknown,Unknown,,False
Nosotros,LOCATION,0.85,Unknown,Unknown,,False
Nosotros Decíamos,PERSON,0.85,Unknown,Unknown,,False
Novedad,LOCATION,0.85,Unknown,Unknown,,False
Números,PERSON,0.85,Unknown,Unknown,,False
One,CARDINAL,0.85,Unknown,Unknown,,False
Para Mí La,PERSON,0.85,Unknown,Unknown,,False
Pegasus al CISEN,PERSON,0.85,Unknown,Unknown,,False
Pegasus al ejército,PERSON,0.85,Unknown,Unknown,,False
Pero Había Que,PERSON,0.85,Unknown,Unknown,,False
Pero Podemos Seguir,ORGANIZATION,0.85,Unknown,Unknown,,False
Pleno Al,PERSON,0.85,Unknown,Unknown,,False
Pueden estar,PERSON,0.85,Unknown,Unknown,,False
Puedo,LOCATION,0.85,Unknown,Unknown,,False
Quedas,PERSON,0.85,Unknown,Unknown,,False
Quisieras,PERSON,0.85,Unknown,Unknown,,False
Qué,PERSON,0.85,Unknown,Unknown,,False
Saudis,GROUP,0.85,Unknown,Unknown,,False
Se tenía que,PERSON,0.85,Unknown,Unknown,,False
Signal,ORGANIZATION,0.85,Unknown,Unknown,,False
Sms,ORGANIZATION,0.85,Unknown,Unknown,,False
Telegram,ORGANIZATION,0.85,Unknown,Unknown,,False
Tengo un directorio nutrido,PERSON,0.85,Unknown,Unknown,,False
Tens Of Thousands,CARDINAL,0.85,Unknown,Unknown,,False
Tenía Cada Una De Las Aplicaciones De Las Que,FACILITY,0.85,Unknown,Unknown,,False
teníamos el cuadro de la aplicación de WhatsApp,ORGANIZATION,0.85,Unknown,Unknown,,False
Teníamos La,PERSON,0.85,Unknown,Unknown,,False
The 12Th,DATE,0.85,Unknown,Unknown,,False
The Last 10 Years,DATE,0.85,Unknown,Unknown,,False
The minute,TIME,0.85,Unknown,Unknown,,False
the Pegasus Spyware,FACILITY,0.85,Unknown,Unknown,,False
Three,CARDINAL,0.85,Unknown,Unknown,,False
Today,DATE,0.85,Unknown,Unknown,,False
Tu Teléfono,ORGANIZATION,0.85,Unknown,Unknown,,False
Turkish,GROUP,0.85,Unknown,Unknown,,False
