name,type,confidence,source,extraction_methods,aliases,is_normalized
Hess,PERSON,0.71,Unknown,Unknown,,False
Acquisition,EVENT,0.95,Unknown,Unknown,,False
Cloud Computing Division,ORGANIZATION,0.71,Unknown,Unknown,,False
Mediation,EVENT,0.95,Unknown,Unknown,,False
Renovations,EVENT,0.95,Unknown,Unknown,,False
Federal Reserve,ORGANIZATION,0.95,Unknown,Unknown,,False
Funding Round,EVENT,0.95,Unknown,Unknown,,False
Project Cost Overruns,EVENT,0.71,Unknown,Unknown,,False
Valuation,PRODUCT,0.95,Unknown,Unknown,,False
8 And A Half%,PERCENTAGE,0.71,Unknown,Unknown,,False
