name,type,confidence,source,timestamp
Alejandro Caballero,PERSON,0.987449049949646,unknown,
Alejandro Encinas,PERSON,0.9823945164680481,unknown,
De Shouji,PERSON,0.9794100522994995,unknown,
Aristegui Noticias,ORGANIZATION,0.9519924521446228,unknown,
Hanan Atar,CHARACTER,0.9498886466026306,unknown,
Khadija Ismayilova,PERSON,0.9470158392732793,unknown,
Hatice Khashoggi's,PERSON,0.9464481961727141,unknown,
Karina Maciel,PERSON,0.945453159014384,unknown,
Enrique Peña Nieto,PERSON,0.9439256111780803,unknown,
Jamal,PERSON,0.9308064778645834,unknown,
Presidente,PERSON,0.9285374641418457,unknown,
Azerbaijan,LOCATION,0.9250975046839033,unknown,
Turkey,LOCATION,0.9215996583302816,unknown,
Israel,LOCATION,0.920740298430125,unknown,
Istanbul,LOCATION,0.919546139240265,unknown,
The Guardian,ORGANIZATION,0.918998458981514,unknown,
Ilham Aliyev,PERSON,0.9174282729625702,unknown,
The Washington Post,ORGANIZATION,0.9163095672925313,unknown,
Huang Shi,PERSON,0.9155073642730713,unknown,
Company,COMPANY,0.9153073132038116,unknown,
Sandra Nogales,PERSON,0.9141554415225983,unknown,
Technology,TECHNOLOGY,0.9137216061353683,unknown,
Zheng Dang Yao Ren,PERSON,0.9121754050254822,unknown,
Hungary,LOCATION,0.9107158958911896,unknown,
Bu Fen Ji Zhi,PERSON,0.910150158405304,unknown,
Kazakhstan,LOCATION,0.9101396083831788,unknown,
System,TECHNOLOGY,0.9094101190567017,unknown,
Telegram,SOFTWARE,0.9084442853927612,unknown,
Latifa Al Maktoum,PERSON,0.9066358983516694,unknown,
Proceso,ORGANIZATION,0.9057371020317078,unknown,
India,LOCATION,0.9026356518268586,unknown,
Claudio Guarnieri,PERSON,0.9025903463363648,unknown,
Visa,PRODUCT,0.9014859795570374,unknown,
Amnesty International's,ORGANIZATION,0.9005918383598328,unknown,
Teresa Aristegui Flores,PERSON,0.9000210046768189,unknown,
Cnn,ORGANIZATION,0.8986555814743042,unknown,
Forbidden team,ORGANIZATION,0.8972940444946289,unknown,
Le Monde,ORGANIZATION,0.8972347974777222,unknown,
Mexico,LOCATION,0.8920016595295497,unknown,
Emilio,PERSON,0.8893640557924907,unknown,
Craig Timberg,PERSON,0.8865972042083741,unknown,
Jamal Khashoggi,CHARACTER,0.8864399194717407,unknown,
Hanan Atar,PERSON,0.8852138737837474,unknown,
July 2021,DATE,0.8846383571624756,unknown,
Paris,LOCATION,0.8831138491630555,unknown,
Casa Blanca,LOCATION,0.8822054266929626,unknown,
Sebastian Barragan,PERSON,0.8818812251091004,unknown,
Dana Priest,PERSON,0.8814784169197083,unknown,
Washington,LOCATION,0.8810342729091645,unknown,
Emirates Airlines,ORGANIZATION,0.8808613896369935,unknown,
Brighton,LOCATION,0.8789720416069031,unknown,
Baku,LOCATION,0.8764331221580506,unknown,
UAE airport,LOCATION,0.8716244280338288,unknown,
Lemon,ORGANIZATION,0.8707726180553437,unknown,
The NSO Group,ORGANIZATION,0.8695977555380927,unknown,
Paul Lewis,PERSON,0.8678176879882813,unknown,
$1 Billion,MONEY,0.8658687055110932,unknown,
Maggie,CHARACTER,0.8653349280357361,unknown,
Pegasus,PRODUCT,0.8623668764318738,unknown,
Putin,PERSON,0.8586022138595581,unknown,
1984,BOOK,0.858527421951294,unknown,
Money,MONEY,0.858257532119751,unknown,
Apple Music,COMPANY,0.8558492088317872,unknown,
Kristoff,PERSON,0.8529308915138245,unknown,
2010,DATE,0.8525166690349579,unknown,
Damien,PERSON,0.850550401210785,unknown,
10,CARDINAL,0.85,unknown,
17,CARDINAL,0.85,unknown,
1984,DATE,0.85,unknown,
40,CARDINAL,0.85,unknown,
6Th,ORDINAL,0.85,unknown,
9Th,ORDINAL,0.85,unknown,
A Big Year,DATE,0.85,unknown,
A Couple Of Weeks Ago,DATE,0.85,unknown,
Abajo Estaban,PERSON,0.85,unknown,
Abajo teníamos el micrófono,PERSON,0.85,unknown,
"About 50,000",CARDINAL,0.85,unknown,
About A Year,DATE,0.85,unknown,
Ahora Es,PERSON,0.85,unknown,
Al Canario,PERSON,0.85,unknown,
Al cruzar,PERSON,0.85,unknown,
Al Dispositivo,PERSON,0.85,unknown,
Al Sistema De Inteligencia,PERSON,0.85,unknown,
Al Teléfono,PERSON,0.85,unknown,
Aliyev,GROUP,0.85,unknown,
