start,end,speaker,text,confidence
1.184,3.146,SPEAKER_02, I know you're used to CEOs who don't answer your question.,1.0
3.166,4.748,SPEAKER_02,I'm going to directly answer your question.,1.0
6.63,18.364,SPEAKER_02,"I get yelled at all the time for Ukraine, ICE, Israel, and generally telling the truth, which I would call, okay, the chance of world survival goes up as America becomes stronger and more dominant.",1.0
22.768,26.374,SPEAKER_03," Alex Karp, thanks for having us into the Palantir lair in Manhattan.",1.0
26.674,27.936,SPEAKER_03,Welcome to The Axios Show.,1.0
28.437,31.021,SPEAKER_03,"You're CEO, co-founder of Palantir.",1.0
31.381,32.323,SPEAKER_03,What the hell is Palantir?,1.0
33.769,35.371,SPEAKER_02," Well, it depends who I'm talking to.",1.0
36.852,39.695,SPEAKER_02,"Well, if I'm talking to you, we are growing the GDP of the US.",1.0
40.275,49.004,SPEAKER_02,"We are the part of the GDP of the AI economy where things are useful, either on the battlefield or commercially.",1.0
49.965,54.97,SPEAKER_02,And we're the only AI company with a real spread function to the working class Americans.,1.0
55.41,67.953,SPEAKER_02," If it's the third or fourth conversation, it would be more like we went long on the reality that large language models were useful in their application, in our software, and are not going to be as performing as people want outside of it.",1.0
72.074,77.915,SPEAKER_03,"You talk about a single pane of glass, right, that connects AI, connects data, connects analytics.",1.0
78.155,80.475,SPEAKER_03,Let's give viewers an example.,1.0
80.915,83.536,SPEAKER_03,I'm a commander in the battlefield. What can...,1.0
84.861,87.003,SPEAKER_03," Palantir, tell me about my assets.",1.0
87.603,93.368,SPEAKER_02,"Well, if you're a commander in the battlefield for the first time, you have access to all your assets.",1.0
93.508,99.072,SPEAKER_02,"When I say all, I mean also assets of foreign countries you work with that are sharing a subset of the data.",1.0
100.754,103.356,SPEAKER_03,So I'm looking at this pane of glass and what does it show me?,1.0
104.335,116.199,SPEAKER_02," Well, it probably at this point is showing, again, it depends what you're doing, but it's probably showing if you're, say, doing a complex operation, it's showing you where the plane should fly, where the troops should be, where the missiles should go, where they shouldn't go.",1.0
116.52,121.102,SPEAKER_02,"And again, it's doing this off of data sets that were not available to you  last year.",1.0
121.442,124.425,SPEAKER_02,It's also be able to predict where you should put your assets.,1.0
124.985,131.191,SPEAKER_02,It can and will soon be able to pick up what kind of missiles do you put on what kind of targets.,1.0
131.211,134.614,SPEAKER_02,So do you put your really expensive missiles on your really expensive targets?,1.0
135.074,141.139,SPEAKER_02,"It will at some point, and again, this is one of the most important things that's overlooked, be able to totally orchestrate the supply chain.",1.0
141.179,142.12,SPEAKER_02,So what are you building?,1.0
142.16,142.901,SPEAKER_02,How are you building it?,1.0
142.941,143.762,SPEAKER_02,Where is it be building?,1.0
144.422,149.865,SPEAKER_02," what companies are doing it, understanding the cost for those companies, which is currently something that's very, very hard for those companies.",1.0
149.906,159.311,SPEAKER_02,"So there's the kind of sexy, violent part of war, which obviously in this case would mean, honestly, for this commander, what it basically will mean is you will be ahead of your adversary.",1.0
159.331,160.632,SPEAKER_02,You'll be able to predict their actions.,1.0
160.952,172.379,SPEAKER_02,"You'll be able to put the best effectors on the most important targets and the cheaper ones on less important targets, i.e., by the way, honestly, the most important thing Palantir does is prevent war.",1.0
172.76,174.488,SPEAKER_03, So that sounds very useful.,1.0
174.729,176.457,SPEAKER_03,Why are people so suspicious of you?,1.0
178.072,181.973,SPEAKER_02," Well, I actually would push back on that, which people are suspicious.",1.0
182.433,184.213,SPEAKER_02,"So like, you know, it's really interesting.",1.0
184.233,187.394,SPEAKER_02,"I was watching someone on TV who was like, I talk to special operators.",1.0
187.454,188.574,SPEAKER_02,I talk to military people.,1.0
188.674,189.734,SPEAKER_02,They love to volunteer.,1.0
190.335,206.018,SPEAKER_02,"Okay, so I'm just going to say for the sake of being somewhat of a jerk, the people I care about, the people on the front line in factories, the people driving trucks, the people doing things, the people who've used our products, the war fighters, how did we get our business off the ground?",1.0
206.658,212.602,SPEAKER_02," were fighters who are sacrificing their lives, went to generals and said, I don't care what stars you have, I'm coming home alive.",1.0
212.982,217.364,SPEAKER_02,"You know, a lot of those people are suspicious of us now, try to take the product out of their hands.",1.0
217.965,222.628,SPEAKER_02,"Almost all of our clients, meaning people who've bought our product, started off as Palantir skeptics.",1.0
223.428,226.371,SPEAKER_02, And I've gone into tens of thousands of meetings.,1.0
226.772,228.754,SPEAKER_02,"Now, currently, when I meet the pound, you're skeptic.",1.0
228.854,240.005,SPEAKER_02,"I'm like, that's the person who's going to buy because they have legitimate questions like, is this product being used to take away my right to go have a hot dog with a coworker I'm flirting with while being married?",1.0
240.265,243.726,SPEAKER_02," which honestly, you know, I think is the God-given right of people in this country.",1.0
244.146,248.247,SPEAKER_02,Can I take the day off and tell my employer I'm working when I'm not? Great.,1.0
248.467,250.148,SPEAKER_02,"Maybe you shouldn't do that, but I support that.",1.0
250.548,253.529,SPEAKER_02,Can I have views that are deviant from my bosses?,1.0
